Category-id	Category_jpn	Category_eng	Registered	LastUpdated
Category-id_1	原因	Pathogen	2021-08-21	
Category-id_2	発生地域	Endemic areas	2021-08-21	
Category-id_3	有症状率/死亡者数	Prevalence/Mortality	2021-08-21	
Category-id_4	潜伏期間/感染期間	Incubation/Communicability period	2021-08-21	2021-08-23
Category-id_5	症状	Symptoms	2021-08-21	
Category-id_6	重症時	Exacerbation	2021-08-21	
Category-id_7	感染経路	Route of transmission	2021-08-21	
Category-id_8	除外経路	Exclusion route 	2021-08-21	
Category-id_9	診断方法	Diagnoses	2021-08-21	
Category-id_10	治療法	Treatment	2021-08-21	
Category-id_11	予防法	Prevention	2021-08-21	
Category-id_12	その他	Others	2021-08-21	
Category-id_13	宿主側感染関連タンパク（受容体など）	Infection related proteins	2021-08-21	
Category-id_14	不足情報	Need further information	2021-08-21	
Category-id_15	感染症	Infection	2021-08-23	
Category-id_16	別名	Zoonosis synonym	2021-08-23	
Category-id_17	感染症法	Japanese Act No. 114 (Act on the Prevention of Infectious Diseases and Medical Care for Patients with Infectious Diseases (the Infectious Diseases Control Law))	2021-08-23	
Category-id_18	家畜伝染病予防法	Japanese Act No. 166 (Act on Domestic Animal Infectious Diseases Control)	2021-08-23	